Centroid_x,Centroid_y,Song_Id,Title,loudness_x,loudness_y
-20.06434332425069,0.0,SOUQQEA12A8C134B1B,High Tide,-16.11,0.0
-20.06434332425069,0.0,SOLLHMX12AB01846DC,The Emperor Falls,-15.335,0.0
-20.06434332425069,0.0,SOINBCU12A6D4F94C0,Human Cannonball,-15.663,0.0
-20.06434332425069,0.0,SOMZCVH12AB0182B8E,Stream,-21.552,0.0
-20.06434332425069,0.0,SODLSHA12AAF3B29F2,Choro,-15.761,0.0
-20.06434332425069,0.0,SOYZOXW12A8C13E195,Little Girl (LP Version),-15.144,0.0
-20.06434332425069,0.0,SORXUZZ12A8AE4798A,I Want Love (Tween You & Me) (Album Version),-17.285,0.0
-20.06434332425069,0.0,SOFUBCP12A8C13D5EF,Biding Her Time,-18.114,0.0
-20.06434332425069,0.0,SOAFIPD12A8C13A261,Mozart,-23.988,0.0
-20.06434332425069,0.0,SOAYYDM12AB01817E6,Orgofart,-28.347,0.0
-20.06434332425069,0.0,SORHOEV12A81C20F71,Taryns Deepest Fear,-17.623,0.0
-20.06434332425069,0.0,SOGTLVU12A8AE47D5D,Going Down Slow,-23.527,0.0
-20.06434332425069,0.0,SOIKIJC12AC3DFB3D2,Have Yourself A Merry Little Christmas,-15.736,0.0
-20.06434332425069,0.0,SOVTGXQ12A6D4FB9CA,Atmosphere Station,-38.525,0.0
-20.06434332425069,0.0,SOJRCDU12AB0189D27,Smile,-16.006,0.0
-20.06434332425069,0.0,SOYDHCW12A6D4F9A2E,Jeffrey's Dark Side,-18.349,0.0
-20.06434332425069,0.0,SOCVGQS12A8C13D7DF,When Morning Comes To Town,-15.54,0.0
-20.06434332425069,0.0,SORJXPY12AB0182839,Bad Seed,-15.915,0.0
-20.06434332425069,0.0,SONSKXP12A8C13A2C9,Native Soul,-16.113,0.0
-20.06434332425069,0.0,SOGDBUF12A8C140FAA,Intro,-22.752,0.0
-20.06434332425069,0.0,SOAXGUT12AB0184D53,L' Envers Du Décor,-15.008,0.0
-20.06434332425069,0.0,SOMMMJG12AB0188A1C,Mother,-27.806,0.0
-20.06434332425069,0.0,SOAQFIX12A6D4F8A72,Sayin' Dope,-14.979,0.0
-20.06434332425069,0.0,SOSMXVH12A58A7CA6C,Pienso En Ti,-19.976,0.0
-20.06434332425069,0.0,SOXDEEZ12A6D4FBB9A,Village Attack/ The Arrest,-14.891,0.0
-20.06434332425069,0.0,SOKMUOE12AAF3B3F2B,Karuna,-15.624,0.0
-20.06434332425069,0.0,SOJWZGJ12A670203B7,Old Times Sake,-15.546,0.0
-20.06434332425069,0.0,SOTTJUN12A8C132C22,Sally In the Garden,-16.504,0.0
-20.06434332425069,0.0,SOIEJUL12AB0181C12,No More Blues (Chega de Saudade),-24.83,0.0
-20.06434332425069,0.0,SODPNJR12A6D4FA52D,Segredo,-29.75,0.0
-20.06434332425069,0.0,SOMMSMW12A8C13FCCC,Bedroom Acoustics,-20.816,0.0
